epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,479.836,1.19275,0.79795,1.03966,0.66266,0.68919,0.70534,0.36732,1.63082,1.06938,1.31021,0.00168716,0.00168716,0.00168716
81,488.05,1.19845,0.76804,1.01794,0.66669,0.71622,0.70543,0.36734,1.56864,1.05427,1.26399,0.0016832,0.0016832,0.0016832
82,496.047,1.13256,0.75684,1.01699,0.75473,0.60811,0.68061,0.35522,1.61158,1.22196,1.27522,0.00167924,0.00167924,0.00167924
83,504.51,1.13015,0.77647,1.04772,0.76294,0.62162,0.69799,0.37742,1.60219,1.13979,1.30866,0.00167528,0.00167528,0.00167528
84,512.322,1.18513,0.77576,1.05073,0.65256,0.7973,0.73291,0.37921,1.5869,1.11748,1.28593,0.00167132,0.00167132,0.00167132
85,520.881,1.15506,0.77108,1.02546,0.70679,0.74926,0.71486,0.37007,1.57492,1.07327,1.2913,0.00166736,0.00166736,0.00166736
86,528.929,1.17162,0.78531,1.02436,0.63157,0.66216,0.68084,0.34175,1.62562,1.25212,1.29454,0.0016634,0.0016634,0.0016634
87,536.578,1.21203,0.77607,1.06612,0.71398,0.641,0.67215,0.36897,1.51302,1.29377,1.22954,0.00165944,0.00165944,0.00165944
88,545.04,1.18683,0.77268,1.04407,0.63427,0.55405,0.59874,0.32564,1.53376,1.45485,1.23943,0.00165548,0.00165548,0.00165548
89,553.673,1.15383,0.73737,1.03458,0.61019,0.62162,0.63374,0.34585,1.58332,1.27876,1.26431,0.00165152,0.00165152,0.00165152
90,562.26,1.12843,0.74347,1.01323,0.58443,0.71622,0.68123,0.3532,1.58521,1.17916,1.27206,0.00164756,0.00164756,0.00164756
91,571.288,1.16893,0.79195,1.00301,0.67416,0.67568,0.70326,0.3496,1.60409,1.12256,1.28803,0.0016436,0.0016436,0.0016436
92,579.436,1.13135,0.76472,1.02248,0.67369,0.64865,0.681,0.3596,1.60046,1.15172,1.28038,0.00163964,0.00163964,0.00163964
93,587.268,1.16374,0.74,1.03931,0.66722,0.64865,0.65985,0.36022,1.62962,1.20618,1.28145,0.00163568,0.00163568,0.00163568
94,595.326,1.10503,0.71875,1.00346,0.65473,0.66216,0.63179,0.31791,1.63339,1.45897,1.26437,0.00163172,0.00163172,0.00163172
95,603.489,1.07202,0.73114,1.00291,0.72822,0.65179,0.67662,0.36818,1.54818,1.23063,1.23969,0.00162776,0.00162776,0.00162776
96,612.152,1.13352,0.75132,1.02386,0.68734,0.7027,0.64329,0.33519,1.65429,1.20587,1.28186,0.0016238,0.0016238,0.0016238
97,620.787,1.05076,0.71848,0.99269,0.56068,0.77027,0.62155,0.31563,1.7674,1.30068,1.29387,0.00161984,0.00161984,0.00161984
98,629.212,1.16967,0.79386,1.0613,0.62723,0.63667,0.65526,0.35721,1.64702,1.4005,1.2455,0.00161588,0.00161588,0.00161588
99,638.349,1.07382,0.73848,1.0024,0.60038,0.64865,0.65944,0.35917,1.66341,1.48176,1.31936,0.00161192,0.00161192,0.00161192
100,647.259,1.06572,0.70374,0.97898,0.76784,0.58103,0.65637,0.35068,1.60044,1.35287,1.31387,0.00160796,0.00160796,0.00160796
101,655.005,1.08172,0.71732,1.00813,0.60536,0.76701,0.66343,0.35105,1.61304,1.40798,1.30491,0.001604,0.001604,0.001604
102,663.357,1.11062,0.71462,1.01959,0.62496,0.72064,0.65104,0.35484,1.5841,1.34171,1.28892,0.00160004,0.00160004,0.00160004
103,671.185,1.07185,0.69228,0.99579,0.57796,0.66216,0.61375,0.33228,1.61465,1.41771,1.26734,0.00159608,0.00159608,0.00159608
104,679.715,1.13675,0.75543,1.04337,0.63084,0.67568,0.6421,0.36565,1.57837,1.22401,1.2321,0.00159212,0.00159212,0.00159212
105,688.067,1.10533,0.76359,1.00239,0.64923,0.66216,0.66172,0.36466,1.56186,1.13526,1.22761,0.00158816,0.00158816,0.00158816
106,695.828,1.04242,0.69115,0.99012,0.68464,0.64865,0.68383,0.38057,1.59749,1.1448,1.26846,0.0015842,0.0015842,0.0015842
107,704.237,1.05758,0.69258,1.01069,0.64221,0.7027,0.68204,0.3748,1.63016,1.26386,1.27415,0.00158024,0.00158024,0.00158024
108,711.987,1.02802,0.66072,0.98005,0.70484,0.7027,0.70109,0.35882,1.75486,1.17123,1.30966,0.00157628,0.00157628,0.00157628
109,719.744,1.1025,0.70907,1.00958,0.72962,0.61995,0.68337,0.36923,1.62174,1.13476,1.26025,0.00157232,0.00157232,0.00157232
110,729.184,1.04871,0.71621,0.98023,0.57351,0.70873,0.64675,0.35931,1.54688,1.15929,1.26491,0.00156836,0.00156836,0.00156836
111,736.554,1.11509,0.74648,1.01827,0.61171,0.75676,0.65303,0.33755,1.59637,1.13253,1.29761,0.0015644,0.0015644,0.0015644
112,744.17,1.03899,0.7348,0.97462,0.644,0.68919,0.68662,0.36538,1.67377,1.15585,1.30663,0.00156044,0.00156044,0.00156044
113,752.6,1.07654,0.73863,1.02668,0.67576,0.68919,0.66262,0.36494,1.63123,1.20633,1.25946,0.00155648,0.00155648,0.00155648
114,762.167,1.05399,0.69237,0.97963,0.67096,0.66134,0.61592,0.33342,1.66493,1.42101,1.27045,0.00155252,0.00155252,0.00155252
115,771.302,1.06065,0.69278,1.00781,0.66223,0.71622,0.5792,0.29853,1.67704,1.37725,1.26277,0.00154856,0.00154856,0.00154856
116,780.105,1.0702,0.69418,0.99609,0.66783,0.58108,0.6153,0.33383,1.66688,1.37475,1.29294,0.0015446,0.0015446,0.0015446
117,788.074,1.07152,0.67422,1.00348,0.67329,0.62162,0.63765,0.3506,1.61538,1.35558,1.28312,0.00154064,0.00154064,0.00154064
